user_id,ad_click_date,landing_page_view_date,signup_date,trial_date,purchase_date,campaign,channel
user_1,2024-01-07,2024-01-07,2024-01-10,2024-01-11,,Winter Promo,TikTok
user_2,2024-01-20,2024-01-20,,,,Spring Launch,YouTube
user_3,2024-01-29,,,,,Winter Promo,TikTok
user_4,2024-01-15,2024-01-15,2024-01-18,,,Holiday Blitz,YouTube
user_5,2024-01-11,2024-01-11,2024-01-14,2024-01-16,2024-01-19,Winter Promo,Instagram
user_6,2024-01-08,2024-01-08,2024-01-09,2024-01-11,,Spring Launch,Email
user_7,2024-01-29,2024-01-29,2024-01-30,,,Holiday Blitz,Google Ads
user_8,2024-01-21,2024-01-21,2024-01-22,2024-01-23,,Spring Launch,Email
user_9,2024-01-07,2024-01-07,2024-01-09,,,Holiday Blitz,Facebook
user_10,2024-01-26,2024-01-26,,,,Spring Launch,TikTok
user_11,2024-01-19,2024-01-19,2024-01-21,,,Spring Launch,Google Ads
user_12,2024-01-23,2024-01-23,2024-01-24,2024-01-26,2024-01-28,Winter Promo,TikTok
user_13,2024-01-11,2024-01-11,,,,Spring Launch,Email
user_14,2024-01-11,2024-01-11,,,,Spring Launch,Facebook
user_15,2024-01-24,2024-01-24,2024-01-26,2024-01-28,,Winter Promo,YouTube
user_16,2024-01-21,,,,,Holiday Blitz,YouTube
user_17,2024-01-04,2024-01-04,,,,Holiday Blitz,TikTok
user_18,2024-01-08,2024-01-08,2024-01-11,2024-01-13,,Spring Launch,TikTok
user_19,2024-01-24,2024-01-24,2024-01-25,,,Winter Promo,YouTube
user_20,2024-01-03,2024-01-03,2024-01-04,2024-01-05,,Holiday Blitz,TikTok
user_21,2024-01-22,2024-01-22,,,,Winter Promo,YouTube
user_22,2024-01-21,2024-01-21,2024-01-24,2024-01-26,,Spring Launch,TikTok
user_23,2024-01-02,2024-01-02,,,,Winter Promo,Google Ads
user_24,2024-01-24,2024-01-24,,,,Spring Launch,TikTok
user_25,2024-01-12,2024-01-12,2024-01-14,,,Holiday Blitz,YouTube
user_26,2024-01-30,2024-01-30,,,,Holiday Blitz,Google Ads
user_27,2024-01-06,2024-01-06,2024-01-08,2024-01-09,,Holiday Blitz,Google Ads
user_28,2024-01-02,2024-01-02,2024-01-05,,,Holiday Blitz,Email
user_29,2024-01-28,2024-01-28,2024-01-29,2024-01-30,,Winter Promo,YouTube
user_30,2024-01-21,2024-01-21,2024-01-22,2024-01-23,,Winter Promo,Instagram
user_31,2024-01-01,2024-01-01,2024-01-02,,,Winter Promo,TikTok
user_32,2024-01-12,2024-01-12,2024-01-13,2024-01-15,,Spring Launch,YouTube
